key,section,hu_text,de_text,de_status
objektumorzes:PILOT_HU.useCases.1,useCases.1,Ipari és gyártási telephelyek,Industrie- und Produktionsstandorte,translated_draft
objektumorzes:PILOT_HU.useCases.2,useCases.2,Irodaházak és üzleti központok,Bürogebäude und Businesscenter,translated_draft
objektumorzes:PILOT_HU.useCases.3,useCases.3,Kiskereskedelmi és bevásárlóközponti környezet,Einzelhandels- und Einkaufszentrumsumgebungen,translated_draft
objektumorzes:PILOT_HU.useCases.4,useCases.4,"Építési, átmeneti vagy fokozott kockázatú helyszínek",Baustellen sowie temporäre oder erhöht risikobehaftete Standorte,translated_draft
objektumorzes:hu.serviceDetail.includedEyebrow,included.eyebrow,TARTALOM,LEISTUNGSUMFANG,translated_draft
objektumorzes:hu.serviceDetail.includedTitle,included.title,Mit tartalmaz,Was enthalten ist,translated_draft
objektumorzes:PILOT_HU.includedItems.0,includedItems.0,Beléptetési és kiléptetési rend támogatása,Unterstützung der Zutritts- und Austrittsordnung,translated_draft
objektumorzes:PILOT_HU.includedItems.1,includedItems.1,"Látogató-, beszállító- és kulcskezelés","Besucher-, Lieferanten- und Schlüsselverwaltung",translated_draft
objektumorzes:PILOT_HU.includedItems.2,includedItems.2,"Járőrözés, ellenőrzési pontok és területbejárás","Kontrollgänge, Kontrollpunkte und Geländebegehung",translated_draft
objektumorzes:PILOT_HU.includedItems.3,includedItems.3,Incidensek rögzítése és eszkalációja,Erfassung und Eskalation von Vorfällen,translated_draft
objektumorzes:PILOT_HU.includedItems.4,includedItems.4,Szolgálati napló és egyeztetett riportálás,Dienstbuch und abgestimmtes Berichtswesen,translated_draft
objektumorzes:PILOT_HU.includedItems.5,includedItems.5,Helyszíni biztonsági felmérés és protokoll-javaslat,Sicherheitsbegehung vor Ort und Protokollvorschlag,translated_draft
objektumorzes:PILOT_HU.includedItems.6,includedItems.6,"Kapcsolódás meglévő kamerarendszerhez, beléptetőhöz vagy riasztási folyamathoz, ha a helyszín ezt igényli","Anbindung an vorhandene Kamera-, Zutrittskontroll- oder Alarmprozesse, sofern der Standort dies erfordert",translated_draft
objektumorzes:hu.serviceDetail.processEyebrow,process.eyebrow,FOLYAMAT,ABLAUF,translated_draft
objektumorzes:hu.serviceDetail.processTitle,process.title,Hogyan indul az együttműködés,So startet die Zusammenarbeit,translated_draft
objektumorzes:PILOT_HU.processSteps.0.title,processSteps.0.title,Első egyeztetés és igényfelmérés,Erstabstimmung und Bedarfsaufnahme,translated_draft
objektumorzes:PILOT_HU.processSteps.0.body,processSteps.0.body,"A megkeresésre 2 munkanapon belül visszajelzünk, majd rögzítjük az őrzési célt, a helyszín típusát, az időszakot és az elsődleges kockázati pontokat.","Wir melden uns innerhalb von 2 Arbeitstagen auf Ihre Anfrage und erfassen anschließend das Schutzziel, den Standorttyp, den Zeitraum und die wichtigsten Risikopunkte.",translated_draft
objektumorzes:PILOT_HU.processSteps.1.title,processSteps.1.title,Helyszíni felmérés és kockázati pontok áttekintése,Begehung vor Ort und Überblick über die Risikopunkte,translated_draft
objektumorzes:PILOT_HU.processSteps.1.body,processSteps.1.body,A helyszíni bejárás és az alapvető kockázati áttekintés jellemzően 1–3 munkanapon belül megszervezhető.,Die Begehung vor Ort und die grundlegende Risikoübersicht lassen sich in der Regel innerhalb von 1–3 Arbeitstagen organisieren.,translated_draft
objektumorzes:PILOT_HU.processSteps.2.title,processSteps.2.title,"Belépési, kilépési, járőrözési és eszkalációs rend kialakítása","Festlegung der Zutritts-, Austritts-, Kontrollgang- und Eskalationsordnung",translated_draft
objektumorzes:PILOT_HU.processSteps.2.body,processSteps.2.body,"Meghatározzuk a belépési pontokat, a látogatói és beszállítói folyamatot, a járőrútvonalakat és az incidensek jelzési rendjét.","Wir legen die Zutrittspunkte, den Besucher- und Lieferantenprozess, die Routen der Kontrollgänge und die Meldeordnung für Vorfälle fest.",translated_draft
objektumorzes:PILOT_HU.processSteps.3.title,processSteps.3.title,Szolgálati utasítás és riportálási folyamat rögzítése,Festschreibung der Dienstanweisung und des Berichtsprozesses,translated_draft
objektumorzes:PILOT_HU.processSteps.3.body,processSteps.3.body,"Írásban rögzítjük, mit kell dokumentálni, milyen rendszerességű riport készül, és kik kapnak értesítést eltérés vagy incidens esetén.","Wir halten schriftlich fest, was zu dokumentieren ist, in welchem Rhythmus berichtet wird und wer bei Abweichungen oder Vorfällen benachrichtigt wird.",translated_draft
objektumorzes:PILOT_HU.processSteps.4.title,processSteps.4.title,Vagyonőri jelenlét megszervezése,Organisation der Präsenz des Sicherheitspersonals,translated_draft
objektumorzes:PILOT_HU.processSteps.4.body,processSteps.4.body,"A fegyver nélküli vagy fegyveres vagyonőri jelenlétet a szerződéses igény, a jogi feltételek és a helyszín kockázati profilja alapján szervezzük meg.","Die unbewaffnete oder bewaffnete Präsenz des Sicherheitspersonals organisieren wir auf Grundlage des vertraglichen Bedarfs, der rechtlichen Voraussetzungen und des Risikoprofils des Standorts.",legal_review_required
objektumorzes:PILOT_HU.processSteps.5.title,processSteps.5.title,"Rendszeres kapcsolattartás, riportálás és finomhangolás","Regelmäßige Abstimmung, Berichtswesen und Feinjustierung",translated_draft
objektumorzes:PILOT_HU.processSteps.5.body,processSteps.5.body,"A működés közben a szolgálati tapasztalatokat, visszatérő eseményeket és riportokat a kijelölt kapcsolattartóval egyeztetjük.","Im laufenden Betrieb stimmen wir die Erfahrungen aus dem Dienst, wiederkehrende Ereignisse und die Berichte mit dem benannten Ansprechpartner ab.",translated_draft
objektumorzes:hu.serviceDetail.trustEyebrow,trust.eyebrow,MIÉRT BÍZHAT BENNÜNK,WARUM SIE UNS VERTRAUEN KÖNNEN,translated_draft
objektumorzes:hu.serviceDetail.trustTitle,trust.title,Bizalmi elemek,Vertrauenselemente,translated_draft
objektumorzes:PILOT_HU.trustItems.0.title,trustItems.0.title,24/7 diszpécseri háttér,24/7-Leitstelle im Hintergrund,translated_draft
objektumorzes:PILOT_HU.trustItems.0.body,trustItems.0.body,Az objektumőrzési működés 24/7 diszpécseri háttérrel támogatható; az értesítési és eszkalációs rendet az együttműködés elején rögzítjük.,Der Objektschutzbetrieb kann durch eine 24/7-Leitstelle unterstützt werden; die Benachrichtigungs- und Eskalationsordnung legen wir zu Beginn der Zusammenarbeit fest.,translated_draft
objektumorzes:PILOT_HU.trustItems.1.title,trustItems.1.title,Szolgálati napló és eseménykezelés,Dienstbuch und Ereignisbearbeitung,translated_draft
objektumorzes:PILOT_HU.trustItems.1.body,trustItems.1.body,"Szolgálati napló, eseményrögzítés, egyeztetett riportálás és eszkalációs rend segíti a helyszíni kontrollt.","Dienstbuch, Ereigniserfassung, abgestimmtes Berichtswesen und Eskalationsordnung unterstützen die Kontrolle vor Ort.",translated_draft
objektumorzes:PILOT_HU.trustItems.2.title,trustItems.2.title,Egy felelős kapcsolattartó,Ein verantwortlicher Ansprechpartner,translated_draft
objektumorzes:PILOT_HU.trustItems.2.body,trustItems.2.body,"A napi működéshez kijelölt felelős kapcsolattartót adunk, így a megrendelő nem különálló szereplők között egyeztet.","Für den laufenden Betrieb stellen wir einen benannten verantwortlichen Ansprechpartner, sodass der Auftraggeber nicht zwischen getrennten Akteuren koordinieren muss.",translated_draft
objektumorzes:PILOT_HU.trustItems.3.title,trustItems.3.title,ISO 9001 és ISO 27001,ISO 9001 und ISO 27001,translated_draft
objektumorzes:PILOT_HU.trustItems.3.body,trustItems.3.body,"A szolgálati folyamatokat az Avenir ISO 9001 és ISO 27001 tanúsított irányítási rendszerei támogatják, amennyiben az adott folyamatok a tanúsított működési körbe tartoznak.","Die Dienstprozesse werden durch die nach ISO 9001 und ISO 27001 zertifizierten Managementsysteme von Avenir unterstützt, sofern die betreffenden Prozesse in den zertifizierten Geltungsbereich fallen.",translated_draft
objektumorzes:PILOT_HU.trustItems.4.title,trustItems.4.title,Dokumentált helyszíni bevezetés,Dokumentierte Standorteinführung,translated_draft
objektumorzes:PILOT_HU.trustItems.4.body,trustItems.4.body,"A szolgálati utasítás a szolgálat indítása előtt rögzítésre kerül, és a felelős kapcsolattartóval egyeztetjük; tartalmazza a belépési pontokat, járőrútvonalakat, kulcskezelést, incidensrögzítést és eszkalációt.","Die Dienstanweisung wird vor Dienstbeginn festgeschrieben und mit dem verantwortlichen Ansprechpartner abgestimmt; sie umfasst Zutrittspunkte, Kontrollgangrouten, Schlüsselverwaltung, Vorfallerfassung und Eskalation.",translated_draft
objektumorzes:PILOT_HU.trustItems.5.title,trustItems.5.title,Vagyonvédelmi engedély,Genehmigung für Sicherheitsdienstleistungen,translated_draft
objektumorzes:PILOT_HU.trustItems.5.body,trustItems.5.body,Az Avenir az alkalmazandó magyar személy- és vagyonvédelmi szabályozási keret szerint nyújtja a szolgáltatást; az engedélyezési dokumentáció a szerződéses előkészítés során egyeztethető.,Avenir erbringt die Leistung nach dem anwendbaren ungarischen Regulierungsrahmen für Personen- und Vermögensschutz; die Genehmigungsdokumentation kann im Rahmen der Vertragsvorbereitung abgestimmt werden.,legal_review_required
objektumorzes:hu.serviceDetail.faqEyebrow,faq.eyebrow,GYAKORI KÉRDÉSEK,HÄUFIGE FRAGEN,translated_draft
objektumorzes:hu.serviceDetail.faqTitle,faq.title,Mit kérdeznek leggyakrabban,Was am häufigsten gefragt wird,translated_draft
objektumorzes:PILOT_HU.faq.0.q,faq.0.q,Mit tartalmaz az objektumőrzés?,Was umfasst der Objektschutz?,translated_draft
objektumorzes:PILOT_HU.faq.0.a,faq.0.a,"Az objektumőrzés a helyszín igényei szerint magában foglalhatja a beléptetést és kiléptetést, a látogatók és beszállítók kezelését, a járőrözést, a kulcskezelési szabályokat, az incidensek rögzítését, a szolgálati naplót és az egyeztetett riportálást.","Der Objektschutz kann je nach Bedarf des Standorts die Zutritts- und Austrittskontrolle, den Umgang mit Besuchern und Lieferanten, Kontrollgänge, Regeln der Schlüsselverwaltung, die Erfassung von Vorfällen, das Dienstbuch und ein abgestimmtes Berichtswesen umfassen.",translated_draft
objektumorzes:PILOT_HU.faq.1.q,faq.1.q,Mikor szükséges helyszíni biztonsági felmérés?,Wann ist eine Sicherheitsbegehung vor Ort sinnvoll?,translated_draft
objektumorzes:PILOT_HU.faq.1.a,faq.1.a,"Helyszíni biztonsági felmérés különösen akkor hasznos, ha új objektumot kell őrizni, változik a beléptetési rend, nő a teherforgalom, visszatérő incidensek vannak, vagy a meglévő őrzési és technikai folyamatokat szeretnék átláthatóbbá tenni.","Eine Sicherheitsbegehung vor Ort ist besonders dann sinnvoll, wenn ein neues Objekt zu schützen ist, sich die Zutrittsordnung ändert, der Lieferverkehr zunimmt, wiederkehrende Vorfälle auftreten oder die bestehenden Schutz- und Technikprozesse transparenter gestaltet werden sollen.",translated_draft
objektumorzes:PILOT_HU.faq.2.q,faq.2.q,Milyen szerződéses formában érdemes indítani az objektumőrzést?,In welcher Vertragsform sollte der Objektschutz starten?,translated_draft
objektumorzes:PILOT_HU.faq.2.a,faq.2.a,"A megfelelő modell a helyszín méretétől, kockázati profiljától, nyitvatartásától, belépési pontjaitól, járőrözési igényétől, incidenskezelési rendjétől és riportálási elvárásaitól függ. Ezeket az indulás előtt érdemes rögzíteni, hogy a szolgálat a helyszín valós működéséhez igazodjon.","Das passende Modell hängt von der Größe des Standorts, dem Risikoprofil, den Öffnungszeiten, den Zutrittspunkten, dem Bedarf an Kontrollgängen, der Vorfallbearbeitung und den Berichtsanforderungen ab. Diese sollten vor dem Start festgelegt werden, damit sich der Dienst am tatsächlichen Betrieb des Standorts orientiert.",translated_draft
objektumorzes:PILOT_HU.faq.3.q,faq.3.q,Hogyan történik a látogatók és beszállítók beléptetése?,Wie erfolgt die Zutrittskontrolle für Besucher und Lieferanten?,translated_draft
objektumorzes:PILOT_HU.faq.3.a,faq.3.a,"A beléptetési rendet a helyszíni felmérés alapján alakítjuk ki. Meghatározható, ki, mikor, milyen jogosultsággal léphet be, hogyan történik a vendégregisztráció, a beszállítói beléptetés, a teherforgalom kezelése és a kiléptetés dokumentálása.","Die Zutrittsordnung gestalten wir auf Grundlage der Begehung vor Ort. Festgelegt werden kann, wer wann mit welcher Berechtigung Zutritt erhält, wie die Besucherregistrierung, die Zufahrt von Lieferanten, die Abwicklung des Lieferverkehrs und die Dokumentation des Austritts erfolgen.",translated_draft
objektumorzes:PILOT_HU.faq.4.q,faq.4.q,Összeköthető az őrzés kamerarendszerrel vagy beléptető rendszerrel?,Lässt sich der Objektschutz mit Kamera- oder Zutrittskontrollsystemen verbinden?,translated_draft
objektumorzes:PILOT_HU.faq.4.a,faq.4.a,"Igen, ahol erre lehetőség van, az élőerős őrzés összehangolható meglévő kamerarendszerhez, beléptető rendszerhez, riasztási folyamathoz vagy távfelügyeleti működéshez. Így az őri jelenlét és a technikai vagyonvédelem egymást erősítheti.","Ja, wo dies möglich ist, kann der Objektschutz mit vorhandenen Kamerasystemen, Zutrittskontrollanlagen, Alarmprozessen oder einer Fernüberwachung abgestimmt werden. So können personelle Präsenz und technische Sicherheit einander verstärken.",translated_draft
objektumorzes:PILOT_HU.faq.5.q,faq.5.q,Fegyveres őrzés is kérhető?,Ist auch ein bewaffneter Dienst möglich?,translated_draft
objektumorzes:PILOT_HU.faq.5.a,faq.5.a,"A helyszín kockázati profiljától, a szerződéses igénytől és a jogi feltételek teljesülésétől függően fegyver nélküli vagy fegyveres vagyonőri jelenlét is kialakítható.","Abhängig vom Risikoprofil des Standorts, dem vertraglichen Bedarf und der Erfüllung der rechtlichen Voraussetzungen kann eine unbewaffnete oder bewaffnete Präsenz des Sicherheitspersonals eingerichtet werden.",legal_review_required
objektumorzes:PILOT_HU.faq.6.q,faq.6.q,Rendelkezik az Avenir a szükséges vagyonvédelmi engedéllyel?,Verfügt Avenir über die erforderliche Genehmigung für Sicherheitsdienstleistungen?,translated_draft
objektumorzes:PILOT_HU.faq.6.a,faq.6.a,Igen. Az élőerős objektumőrzés az alkalmazandó magyar személy- és vagyonvédelmi szabályozási keret szerint történik. Az engedélyre és a vagyonőri állomány engedélyezési dokumentációjára vonatkozó információk a szerződéses előkészítés során egyeztethetők.,Ja. Der Objektschutz vor Ort erfolgt nach dem anwendbaren ungarischen Regulierungsrahmen für Personen- und Vermögensschutz. Informationen zur Genehmigung und zur Genehmigungsdokumentation des Sicherheitspersonals können im Rahmen der Vertragsvorbereitung abgestimmt werden.,legal_review_required
objektumorzes:PILOT_HU.faq.7.q,faq.7.q,Van-e 24/7 háttértámogatás?,Gibt es eine 24/7-Unterstützung im Hintergrund?,translated_draft
objektumorzes:PILOT_HU.faq.7.a,faq.7.a,"Igen, az objektumőrzési szolgáltatás 24/7 diszpécseri háttérrel támogatható, az eszkalációs és értesítési rendet pedig az együttműködés elején rögzítjük.","Ja, der Objektschutz kann durch eine 24/7-Leitstelle unterstützt werden; die Eskalations- und Benachrichtigungsordnung legen wir zu Beginn der Zusammenarbeit fest.",translated_draft
objektumorzes:PILOT_HU.faq.8.q,faq.8.q,Mi történik incidens esetén?,Was geschieht bei einem Vorfall?,translated_draft
objektumorzes:PILOT_HU.faq.8.a,faq.8.a,"Az incidenskezelést egyeztetett eszkalációs rend alapján alakítjuk ki. Ez meghatározza, milyen eseményt kell rögzíteni, kit kell értesíteni, milyen sorrendben történik a jelzés, és hogyan kerül dokumentálásra az eset.","Die Vorfallbearbeitung gestalten wir auf Grundlage einer abgestimmten Eskalationsordnung. Diese legt fest, welche Ereignisse zu erfassen sind, wer zu benachrichtigen ist, in welcher Reihenfolge gemeldet wird und wie der Fall dokumentiert wird.",translated_draft
objektumorzes:PILOT_HU.faq.9.q,faq.9.q,Kapunk-e szolgálati naplót vagy incidensriportot?,Erhalten wir ein Dienstbuch oder einen Vorfallbericht?,translated_draft
objektumorzes:PILOT_HU.faq.9.a,faq.9.a,"Igen, a szolgáltatás része lehet szolgálati napló, eseményrögzítés és egyeztetett riportálás. A pontos riportformátumot az együttműködés elején rögzítjük, hogy a megrendelő naprakész információt kapjon a helyszíni működésről.","Ja, Bestandteil der Leistung können Dienstbuch, Ereigniserfassung und ein abgestimmtes Berichtswesen sein. Das genaue Berichtsformat legen wir zu Beginn der Zusammenarbeit fest, damit der Auftraggeber stets aktuelle Informationen über den Betrieb vor Ort erhält.",translated_draft
objektumorzes:hu.serviceDetail.relatedEyebrow,related.eyebrow,MÉG AZ AVENIRTŐL,WEITERES VON AVENIR,translated_draft
objektumorzes:hu.serviceDetail.relatedTitle,related.title,Kapcsolódó szolgáltatások,Verwandte Leistungen,translated_draft
objektumorzes:related.0.portaszolgalat.nameHu,related.0.title,Recepciós és portaszolgálat,Empfangs- und Pförtnerdienst,translated_draft
objektumorzes:related.0.portaszolgalat.shortDescHu,related.0.description,"Recepciós és portaszolgálat látogatók, beszállítók, munkatársak, kulcsok, csomagok, naplózás és egyeztetett eszkaláció kezelésére.","Empfangs- und Pförtnerdienst für Besucher, Lieferanten, Mitarbeiter, Schlüssel, Pakete, Protokollierung und abgestimmte Eskalation.",translated_draft
objektumorzes:related.1.biztonsagtechnika.nameHu,related.1.title,Biztonságtechnika,Sicherheitstechnik,translated_draft
objektumorzes:related.1.biztonsagtechnika.shortDescHu,related.1.description,"Biztonságtechnika kamerarendszerhez, beléptetéshez és riasztási folyamatokhoz, helyszínre szabott biztonsági modellbe illesztve, adatvédelmi szempontokat beépítő technikai tervezéssel.","Sicherheitstechnik für Kamerasysteme, Zutrittskontrolle und Alarmprozesse, eingebettet in ein standortgerechtes Sicherheitsmodell, mit technischer Planung, die Datenschutzaspekte einbezieht.",translated_draft
objektumorzes:related.2.tavfelugyelet-vonuloszolgalat.nameHu,related.2.title,Távfelügyelet és vonulószolgálat,Fernüberwachung und Interventionsdienst,translated_draft
objektumorzes:related.2.tavfelugyelet-vonuloszolgalat.shortDescHu,related.2.description,"Távfelügyelet és vonulószolgálat jelzésfogadással, riasztás-verifikációval, eszkalációval, eseménynaplózással és egyeztetett reagálási folyamattal.","Fernüberwachung und Interventionsdienst mit Alarmempfang, Alarmverifikation, Eskalation, Ereignisprotokollierung und abgestimmtem Reaktionsprozess.",translated_draft
objektumorzes:related.3.mystery-shopping-helyszini-audit.nameHu,related.3.title,Próbavásárlás és szolgáltatásaudit,Mystery Shopping und Serviceaudit,translated_draft
objektumorzes:related.3.mystery-shopping-helyszini-audit.shortDescHu,related.3.description,"Próbavásárlás és szolgáltatásaudit valós ügyfél- és működési helyzetekben, strukturált megfigyeléssel, riportálással és fejlesztési javaslatokkal.","Mystery Shopping und Serviceaudit in realen Kunden- und Betriebssituationen, mit strukturierter Beobachtung, Berichtswesen und Verbesserungsempfehlungen.",translated_draft
objektumorzes:related.4.rendezvenybiztositas.nameHu,related.4.title,Rendezvénybiztosítás,Veranstaltungssicherheit,translated_draft
objektumorzes:related.4.rendezvenybiztositas.shortDescHu,related.4.description,"Rendezvénybiztosítás vállalati, zártkörű és nyilvános eseményekre, beléptetéssel, közönségáramlás-támogatással, zónakezeléssel, incidensrögzítéssel és szervezői eszkalációval.","Veranstaltungssicherheit für Firmen-, geschlossene und öffentliche Veranstaltungen, mit Zutrittskontrolle, Unterstützung der Besucherströme, Zonenmanagement, Vorfallerfassung und Eskalation an die Veranstaltungsleitung.",translated_draft
objektumorzes:serviceDetail.hero.cta,cta.hero,Ajánlatkérés,Angebot anfordern,translated_draft
objektumorzes:SERVICE_QUOTE_COPY.hu.button,cta.embedded.collapsedButton,Ajánlatkérés,Angebot anfordern,translated_draft
portaszolgalat:seoTitleHu,meta.title,Recepciós és portaszolgálat vállalatoknak | Avenir,Empfangs- und Pförtnerdienst für Unternehmen | Avenir,translated_draft
portaszolgalat:seoDescriptionHu,meta.description,"Portaszolgálat beléptetéssel, vendégkezeléssel, kulcskezeléssel és naplózott napi folyamattal irodaházaknak és vállalati helyszíneknek.","Pförtnerdienst mit Zutrittskontrolle, Besuchermanagement, Schlüsselverwaltung und protokolliertem Tagesablauf für Bürogebäude und Unternehmensstandorte.",translated_draft
portaszolgalat:nameHu,hero.h1,Recepciós és portaszolgálat,Empfangs- und Pförtnerdienst,translated_draft
portaszolgalat:valuePropositionHu,hero.subhead,"A recepciós és portaszolgálat az első működési pont, ahol a látogatók, beszállítók, munkatársak és bérlők találkoznak a helyszín szabályaival. Avenir célja, hogy ez a pont rendezett, udvarias, visszakövethető és biztonsági szempontból következetes legyen.","Der Empfangs- und Pförtnerdienst ist der erste Betriebspunkt, an dem Besucher, Lieferanten, Mitarbeiter und Mieter auf die Regeln des Standorts treffen. Ziel von Avenir ist, dass dieser Punkt geordnet, zuvorkommend, nachvollziehbar und sicherheitsseitig konsequent funktioniert.",translated_draft
portaszolgalat:PILOT_HU.longDesc.body.0,body.1,"A portaszolgálat nem egyszerű jelenlét a bejáratnál: a napi működés egyik legfontosabb kontrollpontja. A szolgáltatás a helyszín igényei szerint támogathatja a látogatók fogadását, a vendégregisztrációt, a beszállítók és alvállalkozók beléptetését, a kulcskezelést, a csomagok átvételét, az információadást és a rendkívüli események jelzését.","Der Pförtnerdienst ist keine bloße Präsenz am Eingang, sondern einer der wichtigsten Kontrollpunkte des täglichen Betriebs. Die Leistung kann je nach Bedarf des Standorts den Empfang von Besuchern, die Besucherregistrierung, die Zutrittskontrolle von Lieferanten und Nachunternehmern, die Schlüsselverwaltung, die Annahme von Paketen, die Auskunftserteilung und die Meldung außergewöhnlicher Ereignisse unterstützen.",translated_draft
portaszolgalat:PILOT_HU.longDesc.body.1,body.2,"Avenir a helyszíni felmérés alapján rögzíti a portaszolgálati és recepciós protokollt: ki léphet be, milyen jogosultsággal, milyen dokumentáció mellett, mikor szükséges értesítés, és milyen eseményt kell naplózni vagy eszkalálni. Látogató- és beléptetési adatok kezelésekor a célhoz kötöttség, az időben korlátozott megőrzés és a megfelelő tájékoztatás szempontjai is részei a porta- és recepciós folyamatnak.","Auf Grundlage einer Begehung vor Ort legt Avenir das Pförtner- und Empfangsprotokoll fest: wer mit welcher Berechtigung und mit welcher Dokumentation Zutritt erhält, wann eine Benachrichtigung erforderlich ist und welche Ereignisse zu protokollieren oder zu eskalieren sind. Bei der Verarbeitung von Besucher- und Zutrittsdaten sind auch die Zweckbindung, die zeitlich begrenzte Aufbewahrung und die angemessene Information Bestandteil des Empfangs- und Pförtnerprozesses.",legal_review_required
portaszolgalat:PILOT_HU.longDesc.body.2,body.3,"A portaszolgálat kapcsolódhat élőerős objektumőrzéshez, beléptető rendszerhez, kamerarendszerhez vagy belső üzemeltetési folyamathoz. A megrendelő egyértelmű szolgálati keretet kap: szolgálati naplóval, egyeztetett riportálással és kijelölt felelős kapcsolattartóval.","Der Pförtnerdienst kann an den Objektschutz vor Ort, an Zutrittskontroll- oder Kamerasysteme oder an interne Betriebsprozesse angebunden werden. Der Auftraggeber erhält einen klaren Dienstrahmen: mit Dienstbuch, abgestimmtem Berichtswesen und einem benannten verantwortlichen Ansprechpartner.",translated_draft
portaszolgalat:hu.serviceDetail.useCasesEyebrow,useCases.eyebrow,KINEK AJÁNLJUK,EMPFOHLEN FÜR,translated_draft
portaszolgalat:hu.serviceDetail.useCasesTitle,useCases.title,Kinek jó,Für wen geeignet,translated_draft
portaszolgalat:PILOT_HU.useCases.0,useCases.0,Irodaházak és üzleti központok recepciós működése,Empfangsbetrieb von Bürogebäuden und Businesscentern,translated_draft
portaszolgalat:PILOT_HU.useCases.1,useCases.1,Logisztikai és ipari telephelyek porta- és beléptetési pontjai,Pforten- und Zutrittspunkte von Logistik- und Industriestandorten,translated_draft
portaszolgalat:PILOT_HU.useCases.2,useCases.2,"Bérlői, munkatársi és látogatói forgalmat kezelő helyszínek","Standorte mit Mieter-, Mitarbeiter- und Besucherverkehr",translated_draft
portaszolgalat:PILOT_HU.useCases.3,useCases.3,"Beszállítói, futár- és teherforgalommal érintett objektumok","Objekte mit Lieferanten-, Kurier- und Lieferverkehr",translated_draft
